STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,NAMELSADCO,STATE_NAME,LSAD,ALAND,AWATER,X,Y,geometry
51,41,100822,1400000US51041100822,51041100822,1008.22,Census Tract 1008.22,VA,Chesterfield County,Virginia,CT,39626705,749978,-77.49261723,37.33063493,POINT (-77.49261723055503 37.33063493444562)
51,85,321004,1400000US51085321004,51085321004,3210.04,Census Tract 3210.04,VA,Hanover County,Virginia,CT,18792305,237156,-77.3166095,37.6515441,POINT (-77.31660950340907 37.65154410025296)
51,87,200407,1400000US51087200407,51087200407,2004.07,Census Tract 2004.07,VA,Henrico County,Virginia,CT,3252139,6497,-77.54576825,37.64290272,POINT (-77.54576824608608 37.64290271671887)
51,87,200801,1400000US51087200801,51087200801,2008.01,Census Tract 2008.01,VA,Henrico County,Virginia,CT,5660303,117138,-77.47242397,37.6309301,POINT (-77.47242397212776 37.6309301017666)
51,87,200122,1400000US51087200122,51087200122,2001.22,Census Tract 2001.22,VA,Henrico County,Virginia,CT,3477863,6751,-77.62337175,37.6271046,POINT (-77.62337175407423 37.62710460333664)
51,41,101009,1400000US51041101009,51041101009,1010.09,Census Tract 1010.09,VA,Chesterfield County,Virginia,CT,15710825,179719,-77.6982259,37.38527966,POINT (-77.69822590368662 37.38527965737711)
51,87,200148,1400000US51087200148,51087200148,2001.48,Census Tract 2001.48,VA,Henrico County,Virginia,CT,6373381,79747,-77.57818533,37.68231409,POINT (-77.57818533024465 37.68231408808136)
51,760,40800,1400000US51760040800,51760040800,408,Census Tract 408,VA,Richmond city,Virginia,CT,541701,0,-77.48546707,37.55645468,POINT (-77.48546706621882 37.55645467855522)
51,41,100915,1400000US51041100915,51041100915,1009.15,Census Tract 1009.15,VA,Chesterfield County,Virginia,CT,5031270,10350,-77.63418207,37.50948349,POINT (-77.63418207142635 37.50948348857848)
51,760,21100,1400000US51760021100,51760021100,211,Census Tract 211,VA,Richmond city,Virginia,CT,1517762,34303,-77.40724566,37.5193734,POINT (-77.40724566476682 37.519373395482525)
51,87,200904,1400000US51087200904,51087200904,2009.04,Census Tract 2009.04,VA,Henrico County,Virginia,CT,14232008,1054665,-77.43370261,37.64087913,POINT (-77.43370260593366 37.640879130332365)
51,760,30502,1400000US51760030502,51760030502,305.02,Census Tract 305.02,VA,Richmond city,Virginia,CT,1436522,375712,-77.43921047,37.5360341,POINT (-77.43921046804147 37.5360340954292)
51,87,201203,1400000US51087201203,51087201203,2012.03,Census Tract 2012.03,VA,Henrico County,Virginia,CT,9013634,563522,-77.3340907,37.56062161,POINT (-77.33409070120062 37.56062161140294)
