Unnamed: 0,w_tract,h_tract,workers,w_county,h_county,HomeX,HomeY,w_point,GEOIDHome,X,Y,WorkX,WorkY
85,51041100933,51036600300,1,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.616843955803 37.42100436199893),51036600300,-77.616843955803,37.42100436199893,-77.61684396,37.42100436
88,51041100934,51036600300,1,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.59630336547067 37.42636182771114),51036600300,-77.59630336547067,37.42636182771114,-77.59630337,37.42636183
87,51041100934,51036600200,4,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.59630336547067 37.42636182771114),51036600200,-77.59630336547067,37.42636182771114,-77.59630337,37.42636183
86,51041100934,51036600100,2,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.59630336547067 37.42636182771114),51036600100,-77.59630336547067,37.42636182771114,-77.59630337,37.42636183
89,51041100937,51036600100,2,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.65752558708722 37.45437076789001),51036600100,-77.65752558708722,37.45437076789001,-77.65752559,37.45437077
91,51041100938,51036600200,2,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.71174779484717 37.47590888855158),51036600200,-77.71174779484717,37.47590888855158,-77.71174779,37.47590889
90,51041100938,51036600100,1,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.71174779484717 37.47590888855158),51036600100,-77.71174779484717,37.47590888855158,-77.71174779,37.47590889
93,51041101004,51036600300,1,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.73903567030517 37.33506438395962),51036600300,-77.73903567030517,37.33506438395962,-77.73903567,37.33506438
92,51041101004,51036600200,4,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.73903567030517 37.33506438395962),51036600200,-77.73903567030517,37.33506438395962,-77.73903567,37.33506438
95,51041101007,51036600200,1,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.67112600191413 37.41933093950043),51036600200,-77.67112600191413,37.41933093950043,-77.671126,37.41933094
94,51041101007,51036600100,3,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.67112600191413 37.41933093950043),51036600100,-77.67112600191413,37.41933093950043,-77.671126,37.41933094
96,51041101009,51036600300,1,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.69822590368662 37.38527965737711),51036600300,-77.69822590368662,37.38527965737711,-77.6982259,37.38527966
97,51041101011,51036600300,1,Chesterfield,Charles City,-76.97673227,37.33100999,POINT (-77.6553439341235 37.39465929760114),51036600300,-77.6553439341235,37.39465929760114,-77.65534393,37.3946593
99,51041101012,51036600200,1,Chesterfield,Charles City,-77.1088509,37.38383884,POINT (-77.63841370065516 37.40809540449031),51036600200,-77.63841370065516,37.40809540449031,-77.6384137,37.4080954
98,51041101012,51036600100,2,Chesterfield,Charles City,-77.1917213,37.38472133,POINT (-77.63841370065516 37.40809540449031),51036600100,-77.63841370065516,37.40809540449031,-77.6384137,37.4080954
102,51075400101,51036600300,3,Goochland,Charles City,-76.97673227,37.33100999,POINT (-77.6829955433757 37.60434672946437),51036600300,-77.6829955433757,37.60434672946437,-77.68299554,37.60434673
101,51075400101,51036600200,4,Goochland,Charles City,-77.1088509,37.38383884,POINT (-77.6829955433757 37.60434672946437),51036600200,-77.6829955433757,37.60434672946437,-77.68299554,37.60434673
100,51075400101,51036600100,8,Goochland,Charles City,-77.1917213,37.38472133,POINT (-77.6829955433757 37.60434672946437),51036600100,-77.6829955433757,37.60434672946437,-77.68299554,37.60434673
105,51075400102,51036600300,1,Goochland,Charles City,-76.97673227,37.33100999,POINT (-77.68626193087444 37.67237944645786),51036600300,-77.68626193087444,37.67237944645786,-77.68626193,37.67237945
104,51075400102,51036600200,3,Goochland,Charles City,-77.1088509,37.38383884,POINT (-77.68626193087444 37.67237944645786),51036600200,-77.68626193087444,37.67237944645786,-77.68626193,37.67237945
103,51075400102,51036600100,4,Goochland,Charles City,-77.1917213,37.38472133,POINT (-77.68626193087444 37.67237944645786),51036600100,-77.68626193087444,37.67237944645786,-77.68626193,37.67237945
106,51075400200,51036600200,1,Goochland,Charles City,-77.1088509,37.38383884,POINT (-77.79542232176898 37.67430491707064),51036600200,-77.79542232176898,37.67430491707064,-77.79542232,37.67430492
108,51075400400,51036600200,1,Goochland,Charles City,-77.1088509,37.38383884,POINT (-77.9491511873919 37.7244311350414),51036600200,-77.9491511873919,37.7244311350414,-77.94915119,37.72443114
107,51075400400,51036600100,1,Goochland,Charles City,-77.1917213,37.38472133,POINT (-77.9491511873919 37.7244311350414),51036600100,-77.9491511873919,37.7244311350414,-77.94915119,37.72443114
109,51075400500,51036600200,1,Goochland,Charles City,-77.1088509,37.38383884,POINT (-78.053792604535 37.78226250152007),51036600200,-78.053792604535,37.78226250152007,-78.0537926,37.7822625
112,51085320200,51036600300,1,Hanover,Charles City,-76.97673227,37.33100999,POINT (-77.68504133371904 37.80777584592382),51036600300,-77.68504133371904,37.80777584592382,-77.68504133,37.80777585
111,51085320200,51036600200,1,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.68504133371904 37.80777584592382),51036600200,-77.68504133371904,37.80777584592382,-77.68504133,37.80777585
110,51085320200,51036600100,2,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.68504133371904 37.80777584592382),51036600100,-77.68504133371904,37.80777584592382,-77.68504133,37.80777585
115,51085320400,51036600300,3,Hanover,Charles City,-76.97673227,37.33100999,POINT (-77.53119038188602 37.72350988654313),51036600300,-77.53119038188602,37.72350988654313,-77.53119038,37.72350989
114,51085320400,51036600200,1,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.53119038188602 37.72350988654313),51036600200,-77.53119038188602,37.72350988654313,-77.53119038,37.72350989
113,51085320400,51036600100,11,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.53119038188602 37.72350988654313),51036600100,-77.53119038188602,37.72350988654313,-77.53119038,37.72350989
118,51085320601,51036600300,4,Hanover,Charles City,-76.97673227,37.33100999,POINT (-77.471447092379 37.77593334367191),51036600300,-77.471447092379,37.77593334367191,-77.47144709,37.77593334
117,51085320601,51036600200,4,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.471447092379 37.77593334367191),51036600200,-77.471447092379,37.77593334367191,-77.47144709,37.77593334
116,51085320601,51036600100,3,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.471447092379 37.77593334367191),51036600100,-77.471447092379,37.77593334367191,-77.47144709,37.77593334
121,51085320602,51036600300,2,Hanover,Charles City,-76.97673227,37.33100999,POINT (-77.4731837664395 37.74416694826194),51036600300,-77.4731837664395,37.74416694826194,-77.47318377,37.74416695
120,51085320602,51036600200,2,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.4731837664395 37.74416694826194),51036600200,-77.4731837664395,37.74416694826194,-77.47318377,37.74416695
119,51085320602,51036600100,5,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.4731837664395 37.74416694826194),51036600100,-77.4731837664395,37.74416694826194,-77.47318377,37.74416695
123,51085320702,51036600200,1,Hanover,Charles City,-77.1088509,37.38383884,POINT (-77.3397354429418 37.72429497133764),51036600200,-77.3397354429418,37.72429497133764,-77.33973544,37.72429497
122,51085320702,51036600100,2,Hanover,Charles City,-77.1917213,37.38472133,POINT (-77.3397354429418 37.72429497133764),51036600100,-77.3397354429418,37.72429497133764,-77.33973544,37.72429497
126,51085320801,51036600300,3,Hanover,Charles City,-76.97673227,37.33100999,POINT (-77.43517463666346 37.72101115161248),51036600300,-77.43517463666346,37.72101115161248,-77.43517464,37.72101115
