,w_tract,workers
978,51107611901,5568
979,51107611902,546
980,51107980100,7638
981,51109950101,220
982,51109950102,1622
983,51109950201,2222
984,51109950202,1320
985,51109950301,2868
986,51109950302,726
987,51109950303,114
988,51109950400,360
989,51109950500,521
990,51111930100,1582
991,51111930200,410
992,51111930300,138
993,51113930101,540
994,51113930102,309
995,51113930201,1954
996,51113930202,295
997,51115951301,159
998,51115951302,263
999,51115951401,107
1000,51115951402,802
1001,51117930101,1155
1002,51117930103,125
1003,51117930104,231
1004,51117930201,1491
1005,51117930202,1764
1006,51117930300,364
1007,51117930401,475
1008,51117930402,453
1009,51117930500,144
1010,51117930600,1965
1011,51117930700,312
1012,51117930800,715
1013,51119950900,112
1014,51119951000,1820
1015,51119951100,413
1016,51119951200,474
1017,51121020100,7823
1018,51121020201,410
1019,51121020202,1374
1020,51121020301,1921
1021,51121020302,102
1022,51121020401,983
1023,51121020402,517
1024,51121020500,773
1025,51121020600,355
1026,51121020701,4627
1027,51121020702,2431
1028,51121020801,2831
1029,51121020802,762
1030,51121020900,4303
1031,51121021000,471
1032,51121021101,1089
1033,51121021102,2595
1034,51121021201,148
1035,51121021202,150
1036,51121021300,452
1037,51121021400,970
1038,51121021501,1655
1039,51121021502,236
1040,51125950101,139
1041,51125950102,889
1042,51125950201,614
1043,51125950202,627
1044,51125950300,1306
1045,51127700100,970
1046,51127700200,556
1047,51127700301,1165
1048,51127700302,2022
1049,51131930100,1460
1050,51131930200,950
1051,51131930301,817
1052,51131930302,455
1053,51133020100,820
1054,51133020200,361
1055,51133020301,300
1056,51133020302,452
1057,51135000101,748
1058,51135000102,1107
1059,51135000200,642
1060,51135000300,2245
1061,51135980100,226
1062,51137110104,139
1063,51137110105,671
1064,51137110106,604
1065,51137110107,461
1066,51137110108,1335
1067,51137110200,3225
1068,51137110301,2094
1069,51137110302,540
1070,51139030100,642
1071,51139030200,2407
1072,51139030300,772
1073,51139030401,279
1074,51139030402,377
1075,51139030500,418
1076,51141030101,308
1077,51141030102,1037
1078,51141030201,98
1079,51141030202,830
1080,51141030301,1036
1081,51141030302,364
1082,51143010100,301
1083,51143010200,353
1084,51143010301,13
1085,51143010302,442
1086,51143010400,140
1087,51143010500,4439
1088,51143010600,835
1089,51143010700,146
1090,51143010801,123
1091,51143010803,270
1092,51143010804,137
1093,51143010900,1001
1094,51143011001,330
1095,51143011002,108
1096,51143011100,139
1097,51143011200,281
1098,51143011301,633
1099,51143011302,85
1100,51143011400,1423
1101,51145500101,1827
1102,51145500102,2042
1103,51145500201,1006
1104,51145500202,900
1105,51145500300,382
1106,51145500400,1069
1107,51147930101,2167
1108,51147930102,837
1109,51147930202,453
1110,51147930204,3821
1111,51147930301,145
1112,51147930302,448
1113,51149850100,1193
1114,51149850200,1561
1115,51149850301,2475
1116,51149850302,360
1117,51149850400,500
1118,51149850501,1003
1119,51149850502,2456
1120,51153900100,580
1121,51153900201,733
1122,51153900202,711
1123,51153900203,228
1124,51153900301,1235
1125,51153900302,1172
1126,51153900403,10901
1127,51153900404,448
1128,51153900407,137
1129,51153900408,38
1130,51153900409,132
1131,51153900410,281
1132,51153900502,2130
1133,51153900503,2105
1134,51153900504,996
1135,51153900601,906
1136,51153900602,502
1137,51153900701,888
1138,51153900702,1049
1139,51153900801,332
1140,51153900803,185
1141,51153900804,263
1142,51153900901,1122
1143,51153900904,805
1144,51153900905,213
1145,51153901005,378
1146,51153901009,228
1147,51153901010,481
1148,51153901011,132
